timestamp,ldr_value,light_condition,alarm_status,alarm_switch,led_switch,buzzer_switch,led_output,buzzer_output
2026-08-21 20:55:47,1623,Light,Normal,ON,OFF,ON,OFF,OFF
2026-08-21 20:55:48,1616,Light,Normal,ON,OFF,ON,OFF,OFF
2026-08-21 20:55:48,1626,Light,Normal,ON,OFF,ON,OFF,OFF
2026-08-21 20:55:49,1449,Light,Normal,ON,OFF,ON,OFF,OFF
2026-08-21 20:55:49,1363,Light,Normal,ON,OFF,ON,OFF,OFF
2026-08-21 20:55:50,1377,Light,Normal,ON,OFF,ON,OFF,OFF
2026-08-21 20:55:50,1365,Light,Normal,ON,OFF,ON,OFF,OFF
2026-08-21 20:55:51,1328,Light,Normal,ON,OFF,ON,OFF,OFF
2026-08-21 20:55:51,1311,Light,Normal,ON,OFF,ON,OFF,OFF
2026-08-21 20:55:52,1328,Light,Normal,ON,OFF,ON,OFF,OFF
2026-08-21 20:55:52,1739,Light,Normal,ON,OFF,ON,OFF,OFF
2026-08-21 20:55:53,1250,Light,Normal,ON,OFF,ON,OFF,OFF
2026-08-21 20:55:53,2265,Light,Normal,ON,OFF,ON,OFF,OFF
2026-08-21 21:06:25,833,Light,Alarm Disabled,OFF,OFF,MUTED,OFF,OFF
2026-08-21 21:06:26,832,Light,Alarm Disabled,OFF,OFF,MUTED,OFF,OFF
2026-08-21 21:06:26,835,Light,Alarm Disabled,OFF,OFF,MUTED,OFF,OFF
2026-08-21 21:06:27,848,Light,Alarm Disabled,OFF,OFF,MUTED,OFF,OFF
2026-08-21 21:06:27,2495,Light,Alarm Disabled,OFF,OFF,MUTED,OFF,OFF
2026-08-21 21:06:28,2896,Light,Alarm Disabled,OFF,OFF,MUTED,OFF,OFF
2026-08-21 21:06:28,2928,Light,Alarm Disabled,OFF,OFF,MUTED,OFF,OFF
2026-08-21 21:06:29,2929,Light,Alarm Disabled,OFF,OFF,MUTED,OFF,OFF
2026-08-21 21:06:29,2975,Light,Alarm Disabled,OFF,OFF,MUTED,OFF,OFF
2026-08-21 21:06:30,3095,Light,Alarm Disabled,OFF,OFF,MUTED,OFF,OFF
2026-08-21 21:06:30,3135,Light,Alarm Disabled,OFF,OFF,MUTED,OFF,OFF
2026-08-21 21:06:31,3163,Light,Alarm Disabled,OFF,OFF,MUTED,OFF,OFF
2026-08-21 21:06:31,2343,Light,Alarm Disabled,OFF,OFF,MUTED,OFF,OFF
2026-08-21 21:06:32,944,Light,Alarm Disabled,OFF,OFF,MUTED,OFF,OFF
2026-08-21 21:06:32,997,Light,Normal,ON,ON,ON,OFF,OFF
2026-08-21 21:06:33,1010,Light,Normal,ON,ON,ON,OFF,OFF
2026-08-21 21:06:33,2872,Light,Normal,ON,ON,ON,OFF,OFF
2026-08-21 21:06:34,2800,Light,Normal,ON,ON,ON,OFF,OFF
2026-08-21 21:06:34,2694,Dark,Alarm Triggered,ON,ON,ON,ON,ON
2026-08-21 21:06:35,2673,Dark,Alarm Triggered,ON,ON,ON,ON,ON
2026-08-21 21:06:35,2653,Dark,Alarm Triggered,ON,ON,ON,ON,ON
2026-08-21 21:06:36,2650,Dark,Alarm Triggered,ON,ON,ON,ON,ON
2026-08-21 21:06:36,2643,Dark,Alarm Triggered,ON,ON,ON,ON,ON
2026-08-21 21:06:37,2647,Dark,Alarm Triggered,ON,ON,ON,ON,ON
2026-08-21 21:06:37,2640,Dark,Alarm Triggered,ON,ON,ON,ON,ON
2026-08-21 21:06:38,2642,Dark,Alarm Triggered,ON,ON,ON,ON,ON
2026-08-21 21:06:38,2654,Dark,Alarm Triggered,ON,ON,ON,ON,ON
2026-08-21 21:06:39,2206,Light,Alarm Disabled,OFF,OFF,MUTED,OFF,OFF
2026-08-21 21:06:39,828,Light,Alarm Disabled,OFF,OFF,MUTED,OFF,OFF
2026-08-21 21:06:40,817,Light,Alarm Disabled,OFF,OFF,MUTED,OFF,OFF
2026-08-21 21:06:40,819,Light,Alarm Disabled,OFF,OFF,MUTED,OFF,OFF
2026-08-21 21:06:41,820,Light,Alarm Disabled,OFF,OFF,MUTED,OFF,OFF
2026-08-21 21:06:41,822,Light,Alarm Disabled,OFF,OFF,MUTED,OFF,OFF
2026-08-21 21:06:42,823,Light,Alarm Disabled,OFF,OFF,MUTED,OFF,OFF
2026-08-21 21:06:42,819,Light,Alarm Disabled,OFF,OFF,MUTED,OFF,OFF
